repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
socket.io,527,165,362,0.3131,0.6869,"issue_number(143), github_issue_url(23), fix_with_error_term(12)",docs: init the contributing guide  Related: https://github.com/socketio/socket.io/issues/4814 | docs: add note about UTF-8 encoding  Related: https://github.com/socketio/engine.io-protocol/issues/42 | docs: fix typo  Related: https://github.com/socketio/engine.io-protocol/issues/43
spark,101,100,1,0.9901,0.0099,"closes_issue(99), issue_number(99), github_pr_url(9)",[SPARK-56998] Add SECURITY.md + AGENTS.md Security section for scan-agent discoverability  **This is a proposal for the  | [SPARK-56990][INFRA] Move scheduled CIs for 4.x to branch-4.x  ### What changes were proposed in this pull request?  Add | [SPARK-56864][INFRA][PYTHON] Consolidate python-ps-minimum image into python-minimum  ### What changes were proposed in 
spring-boot,143,9,134,0.0629,0.9371,fix_with_error_term(9),Fix minor typo in pull request template  See gh-24967 | Fix typo  See gh-23602 | Fix dead link url and name of the STS download link  See gh-22274
spring-framework,100,8,92,0.08,0.92,"fix_with_error_term(5), issue_number(2), github_pr_url(1)","Polish ""Fix broken link to Code of Conduct in CONTRIBUTING.md""  See gh-34180 | Fix broken link to Code of Conduct in CONTRIBUTING.md  See gh-34180 | Add Revved up by Gradle Enterprise badge to Readme  Similar to: https://github.com/spring-projects/spring-boot/pull/2464"
symfony,294,4,290,0.0136,0.9864,"fix_with_error_term(3), issue_number(1)","[DX] Use Symfony ""dark-mode""-responsive logo in README  Following #53105 @javiereguiluz uploaded a Symfony ""dynamic"" log | fix typo in PULL_REQUEST_TEMPLATE.md | Fix typo in sponsor name  Signed-off-by: Johan M. von Behren <johan@vonbehren.eu>"
terraform,2985,166,2819,0.0556,0.9444,"issue_number(148), fix_with_error_term(18), revert(6)",Cleanup after 1.16.0-alpha20260513 release (#38570) | Prepare main branch for post-v1.15 development (#38287)  * Prepare main branch for post-v1.15 development  * Bump Terraf | Cleanup after 1.15.0-alpha20260304 release (#38234)
three.js,167,36,131,0.2156,0.7844,"issue_number(31), fix_with_error_term(4), github_pr_url(2)",Change npm install to npm ci in contributing guide (#31859)  `ci` installs exactly what's in `package-lock.json` where a | add deepwiki (#31182) | Added missing periods and capitalized sentence beginnings for consistency (#30389)  Made adjustments to improve text con
todomvc,12,9,3,0.75,0.25,"issue_number(9), fix_with_error_term(1)",Refresh of the modern framework examples  (#2297)  * Update Vue example to Vue 3.5 and Vite 8  Bumps Vue from 3.3.10 to  | changelog / news section  (#2230) | update avatars (#2228)
vscode,123,47,76,0.3821,0.6179,"issue_number(39), fix_with_error_term(6), fixes_issue(4)",Update VS Code hero image in README (#317726)  Update hero image to the latest design and theme.  Ref: https://github.co | fix(docs): correct grammar and typo issues in documentation | Fix typo in README: remove extra 'and' in contributing section
youtube-dl,1043,288,755,0.2761,0.7239,"issue_number(274), closes_issue(125), fix_with_error_term(15)","[doc] Recommend ""Get cookies.txt LOCALLY"" extension in README.md (#31763)  * remove link to suspect ""Get cookies.txt"" ex | [doc] Fixed typo appearing to promise an example (#31489)  Resolves #31425   Co-authored-by: dirkf <fieldhouse@gmx.net> | [Readme] Clarified extractor naming (#29799)  * Exported usable extractors must be named `xxxxIE`  Co-authored-by: dirkf"
zxing,46,25,21,0.5435,0.4565,"issue_number(25), closes_issue(1)","Add ""Barcode-Lib4J"" to the list of third-party projects (#1975) | Remove broken links to Play Store (#1965)  * Remove Play Store link from README.md  * Remove broken links on decode.jspx | Update ZXingObjC link (#1872)"
