project_name,repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts
elasticsearch,elasticsearch,2020-06-30,2025-06-29,0.500,no,no,33215,89,47,0.123596,0.292135,0.404494,0.561798,8,30,71,45,0.098592,0.239437,0.323944,0.492958,11,31,10,5,0.300000,0.800000,1.000000,1.000000,2,3,8,3,0.500000,1.000000,1.000000,1.000000,1,2,True,89,89
protobuf,protobuf,2020-06-30,2025-06-29,0.500,no,no,11034,37,19,0.312500,0.437500,0.562500,0.718750,4,13,22,13,0.176471,0.411765,0.529412,0.823529,5,10,0,0,,,,,,,15,9,0.466667,0.600000,0.733333,1.000000,2,6,True,37,37
zxing,zxing,2020-06-30,2025-06-29,0.500,no,no,283,18,7,0.470588,0.764706,0.882353,1.000000,2,4,16,7,0.400000,0.733333,0.866667,1.000000,2,4,2,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,True,18,18
godot,godot,2020-06-30,2025-06-29,0.500,no,no,24073,81,17,0.621622,0.783784,0.837838,0.905405,1,4,42,16,0.305556,0.611111,0.694444,0.833333,2,9,14,4,0.769231,0.923077,1.000000,1.000000,1,2,25,1,1.000000,1.000000,1.000000,1.000000,1,1,True,81,81
spark,spark,2020-06-30,2025-06-29,0.500,no,no,17199,37,14,0.378378,0.594595,0.729730,0.891892,3,7,21,9,0.333333,0.619048,0.809524,1.000000,3,5,2,2,0.500000,1.000000,1.000000,1.000000,1,2,14,6,0.428571,0.785714,0.928571,1.000000,2,4,True,37,37
laravel,laravel,2020-06-30,2025-06-29,0.500,no,no,747,184,18,0.385870,0.864130,0.923913,0.956522,2,3,178,17,0.398876,0.876404,0.932584,0.960674,2,3,3,2,0.666667,1.000000,1.000000,1.000000,1,2,3,3,0.333333,1.000000,1.000000,1.000000,2,3,True,184,184
gitignore,gitignore,2020-06-30,2025-06-29,0.500,no,no,425,9,5,0.200000,0.600000,1.000000,1.000000,3,4,8,4,0.250000,0.750000,1.000000,1.000000,2,4,1,1,1.000000,1.000000,1.000000,1.000000,1,1,0,0,,,,,,,True,9,9
pandas,pandas,2020-06-30,2025-06-29,0.500,no,no,12707,45,16,0.136364,0.363636,0.500000,0.727273,5,12,38,13,0.187500,0.375000,0.500000,0.812500,5,10,4,2,0.666667,1.000000,1.000000,1.000000,1,2,3,3,0.333333,1.000000,1.000000,1.000000,2,3,True,45,45
AdminLTE,AdminLTE,2020-06-30,2025-06-29,0.500,no,no,1150,30,5,0.428571,0.857143,1.000000,1.000000,2,3,21,4,0.375000,0.875000,1.000000,1.000000,2,3,5,2,0.500000,1.000000,1.000000,1.000000,1,2,4,2,0.500000,1.000000,1.000000,1.000000,1,2,True,30,30
react-router,react-router,2020-06-30,2025-06-29,0.500,no,no,4786,747,396,0.222997,0.261324,0.282230,0.311847,109,282,637,349,0.205761,0.240741,0.263374,0.288066,106,252,73,42,0.333333,0.393939,0.439394,0.515152,9,29,37,15,0.272727,0.454545,0.545455,0.772727,4,11,True,747,747
ant-design,ant-design,2020-06-30,2025-06-29,0.500,no,no,9843,568,56,0.232804,0.453263,0.594356,0.825397,4,9,223,42,0.273543,0.524664,0.650224,0.793722,3,11,321,25,0.203125,0.512500,0.696875,0.918750,3,7,24,13,0.250000,0.541667,0.666667,0.875000,3,9,True,568,568
rails,rails,2020-06-30,2025-06-29,0.500,no,no,10690,52,32,0.163265,0.306122,0.408163,0.551020,8,23,23,17,0.150000,0.300000,0.400000,0.650000,7,13,2,2,0.500000,1.000000,1.000000,1.000000,1,2,27,14,0.296296,0.518519,0.666667,0.851852,3,9,True,52,52
spring-boot,spring-boot,2020-06-30,2025-06-29,0.500,no,no,17254,59,27,0.135593,0.372881,0.525424,0.711864,5,16,42,26,0.119048,0.309524,0.452381,0.619048,6,18,7,6,0.285714,0.571429,0.857143,1.000000,3,5,10,4,0.400000,0.900000,1.000000,1.000000,2,2,True,59,59
